"city","country","country_code","lat","lon","is_capital"
"Kiruna","Sweden","SE","67.855","20.225",""
"Gällivare","Sweden","SE","67.133","20.660",""
"Skellefteå","Sweden","SE","64.750","20.953",""
"Vittangi","Sweden","SE","67.681","21.652",""
"Edsbyn","Sweden","SE","61.375","15.826",""
"Gränna","Sweden","SE","58.026","14.463",""
"Luleå","Sweden","SE","65.584","22.155",""
"Stockholm","Sweden","SE","59.329","18.069","x"
"Sotkamo","Finland","FI","64.133","28.383",""
"Sodankylä","Finland","FI","67.417","26.600",""
"Harjavalta","Finland","FI","61.313","22.143",""
"Kokkola","Finland","FI","63.838","23.132",""
"Kaustinen","Finland","FI","63.548","23.693",""
"Siilinjärvi","Finland","FI","63.075","27.661",""
"Helsinki","Finland","FI","60.170","24.941","x"
"Kristiansand","Norway","NO","58.146","7.995",""
"Porsgrunn","Norway","NO","59.141","9.656",""
"Skaland","Norway","NO","69.450","17.288",""
"Fauske","Norway","NO","67.259","15.393",""
"Kvinesdal","Norway","NO","58.313","6.962",""
"Ulefoss","Norway","NO","59.281","9.276",""
"Orkanger","Norway","NO","63.300","9.845",""
"Årdalstangen","Norway","NO","61.234","7.702",""
"Sunndalsøra","Norway","NO","62.675","8.564",""
"Sauda","Norway","NO","59.650","6.351",""
"Oslo","Norway","NO","59.913","10.752","x"
"Hamburg","Germany","DE","53.551","9.994",""
"Lünen","Germany","DE","51.616","7.529",""
"Bitterfeld-Wolfen","Germany","DE","51.624","12.318",""
"Landau in der Pfalz","Germany","DE","49.199","8.117",""
"Altenberg","Germany","DE","50.766","13.752",""
"Burghausen","Germany","DE","48.167","12.830",""
"Hanau","Germany","DE","50.133","8.917",""
"Oberwolfach","Germany","DE","48.350","8.223",""
"Essen","Germany","DE","51.458","7.015",""
"Berlin","Germany","DE","52.520","13.405","x"
"Antwerp","Belgium","BE","51.220","4.402",""
"Olen","Belgium","BE","51.152","4.868",""
"Beerse","Belgium","BE","51.322","4.860",""
"Brussels","Belgium","BE","50.851","4.352","x"
"La Rochelle","France","FR","46.160","-1.151",""
"Jarrie","France","FR","45.093","5.752",""
"Auby","France","FR","50.417","3.055",""
"Dunkerque","France","FR","51.035","2.377",""
"Échassières","France","FR","46.129","2.790",""
"Paris","France","FR","48.857","2.352","x"
"Castro Verde","Portugal","PT","37.700","-8.082",""
"Covilhã","Portugal","PT","40.281","-7.503",""
"Boticas","Portugal","PT","41.688","-7.667",""
"Aljustrel","Portugal","PT","37.877","-8.164",""
"Lisbon","Portugal","PT","38.722","-9.139","x"
"Huelva","Spain","ES","37.261","-6.950",""
"Minas de Riotinto","Spain","ES","37.691","-6.594",""
"Gerena","Spain","ES","37.535","-6.152",""
"Barruecopardo","Spain","ES","41.073","-6.663",""
"Viana do Bolo","Spain","ES","42.181","-7.112",""
"Caravia","Spain","ES","43.470","-5.190",""
"Cáceres","Spain","ES","39.476","-6.371",""
"San Ciprián","Spain","ES","43.703","-7.443",""
"Arteixo","Spain","ES","43.305","-8.508",""
"Puertollano","Spain","ES","38.687","-4.107",""
"Madrid","Spain","ES","40.417","-3.704","x"
"Mittersill","Austria","AT","47.283","12.485",""
"Sankt Martin im Sulmtal","Austria","AT","46.767","15.300",""
"Brixlegg","Austria","AT","47.430","11.874",""
"Althofen","Austria","AT","46.870","14.472",""
"Wolfsberg","Austria","AT","46.841","14.843",""
"Vienna","Austria","AT","48.209","16.373","x"
"Cínovec","Czechia","CZ","50.727","13.769",""
"Bruntál","Czechia","CZ","49.988","17.465",""
"Karviná","Czechia","CZ","49.854","18.542",""
"Prague","Czechia","CZ","50.076","14.438","x"
"Lubin","Poland","PL","51.401","16.201",""
"Głogów","Poland","PL","51.664","16.084",""
"Legnica","Poland","PL","51.211","16.161",""
"Jastrzębie-Zdrój","Poland","PL","49.950","18.596",""
"Odolanów","Poland","PL","51.573","17.669",""
"Warsaw","Poland","PL","52.230","21.012","x"
"Distomo","Greece","GR","38.427","22.669",""
"Agios Nikolaos (Boeotia)","Greece","GR","38.372","22.750",""
"Larymna","Greece","GR","38.570","23.297",""
"Athens","Greece","GR","37.984","23.728","x"
"Pirdop","Bulgaria","BG","42.702","24.180",""
"Chelopech","Bulgaria","BG","42.699","24.077",""
"Sofia","Bulgaria","BG","42.698","23.322","x"
"Slatina","Romania","RO","44.430","24.371",""
"Bucharest","Romania","RO","44.427","26.103","x"
"Žiar nad Hronom","Slovakia","SK","48.590","18.853",""
"Bratislava","Slovakia","SK","48.146","17.107","x"
"Narva","Estonia","EE","59.377","28.190",""
"Tallinn","Estonia","EE","59.437","24.754","x"
"Orani","Italy","IT","40.250","9.172",""
"Rome","Italy","IT","41.903","12.496","x"
"Bor","Serbia","RS","44.075","22.096",""
"Loznica","Serbia","RS","44.533","19.223",""
"Belgrade","Serbia","RS","44.787","20.449","x"
"Zavallia","Ukraine","UA","48.233","30.000",""
"Kyiv","Ukraine","UA","50.450","30.523","x"
"Kırka","Turkey","TR","39.278","30.512",""
"Bandırma","Turkey","TR","40.352","27.977",""
"Ankara","Turkey","TR","39.933","32.859","x"
"Grundartangi","Iceland","IS","64.340","-21.770",""
"Reyðarfjörður","Iceland","IS","65.032","-14.221",""
"Húsavík","Iceland","IS","66.045","-17.338",""
"Reykjavík","Iceland","IS","64.147","-21.940","x"
"Ellesmere Port","United Kingdom","GB","53.279","-2.897",""
"Redruth","United Kingdom","GB","50.233","-5.226",""
"London","United Kingdom","GB","51.507","-0.128","x"
"Amsterdam","Netherlands","NL","52.370","4.895","x"
"Dublin","Ireland","IE","53.350","-6.260","x"
"Copenhagen","Denmark","DK","55.676","12.568","x"
"Ljubljana","Slovenia","SI","46.056","14.508","x"
"Zagreb","Croatia","HR","45.815","15.982","x"
"Budapest","Hungary","HU","47.498","19.040","x"
"Vilnius","Lithuania","LT","54.687","25.280","x"
"Riga","Latvia","LV","56.949","24.105","x"
"Bern","Switzerland","CH","46.948","7.447","x"
"Sarajevo","Bosnia and Herzegovina","BA","43.856","18.413","x"
"Skopje","North Macedonia","MK","41.998","21.426","x"
"Tirana","Albania","AL","41.328","19.818","x"
"Podgorica","Montenegro","ME","42.441","19.263","x"
"Chisinau","Moldova","MD","47.011","28.864","x"
"Minsk","Belarus","BY","53.902","27.562","x"
