"company","hq_country","website","type","news_query","news_feed","maturity","status","status_note","logo"
"LKAB","Sweden","https://lkab.com","State-owned mining group","","","incumbent","active","","lkab.png"
"Boliden","Sweden","https://www.boliden.com","Mining and smelting","Boliden mining company","","incumbent","active","","boliden.png"
"Talga Group","Australia","https://www.talgagroup.com","Graphite developer","","","scale-up","active","","talga-group.png"
"Leading Edge Materials","Canada","https://leadingedgematerials.com","Exploration and development","","","scale-up","active","","leading-edge-materials.jpg"
"Terrafame","Finland","https://www.terrafame.com","Mining and battery chemicals","","","incumbent","active","","terrafame.png"
"Agnico Eagle Mines","Canada","https://www.agnicoeagle.com","Gold mining","","","incumbent","active","","agnico-eagle-mines.ico"
"Nornickel Harjavalta","Finland","https://www.nornickel.fi","Nickel refining","","","incumbent","active","","nornickel-harjavalta.png"
"Jervois Finland","Finland","https://jervoisglobal.com","Cobalt refining","Jervois cobalt Kokkola","","scale-up","active","","jervois-finland.png"
"Sibanye-Stillwater","South Africa","https://www.sibanyestillwater.com","Diversified mining","","","incumbent","active","","sibanye-stillwater.svg"
"Yara International","Norway","https://www.yara.com","Fertilisers and phosphate","","","incumbent","active","","yara-international.png"
"Glencore","Switzerland","https://www.glencore.com","Mining and trading","","","incumbent","active","","glencore.png"
"Rare Earths Norway","Norway","https://www.rareearthsnorway.com","Rare earth developer","","","startup","active","","rare-earths-norway.png"
"REEtec","Norway","https://www.reetec.no","Rare earth separation","","","scale-up","active","","reetec.png"
"Skaland Graphite","Norway","https://www.skalandgraphite.com","Graphite mining","","","incumbent","active","","skaland-graphite.svg"
"Elkem","Norway","https://www.elkem.com","Silicon and specialty materials","","","incumbent","active","","elkem.png"
"Eramet Norway","Norway","https://www.eramet.com","Manganese alloys","","","incumbent","active","","eramet-norway.png"
"Norsk Hydro","Norway","https://www.hydro.com","Aluminium","","","incumbent","active","","norsk-hydro.svg"
"Aurubis","Germany","https://www.aurubis.com","Copper smelting and recycling","","","incumbent","active","","aurubis.png"
"AMG Lithium","Germany","https://amg-li.de","Lithium refining","","","scale-up","active","",""
