"id","name","company","city","country","stage","status","note","source_url","confidence","last_checked","Aluminium and bauxite","Antimony","Arsenic","Baryte","Beryllium","Bismuth","Boron","Cobalt","Coking coal","Copper","Feldspar","Fluorspar","Gallium","Germanium","Hafnium","Helium","Heavy rare earth elements","Light rare earth elements","Lithium","Magnesium","Manganese","Natural graphite","Nickel","Niobium","Phosphate rock","Phosphorus","Platinum group metals","Scandium","Silicon metal","Strontium","Tantalum","Titanium metal","Tungsten","Vanadium"
"se-kiruna-lkab","Kiruna mine","LKAB","Kiruna","Sweden","mining","planned","Iron ore mine operating since 1898. The Per Geijer rare earth and phosphate resource announced in 2023 is the largest known REE deposit in the EU, but is not in production.","https://lkab.com","high","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","",""
"se-aitik-boliden","Aitik mine","Boliden","Gällivare","Sweden","mining","operating","One of the largest open-pit copper mines in Europe.","https://www.boliden.com","high","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"se-ronnskar-smelt","Rönnskär smelter","Boliden","Skellefteå","Sweden","smelting","operating","Copper smelter with a dedicated arsenic plant.","https://www.boliden.com","high","","","","x","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","",""
"se-ronnskar-recycle","Rönnskär e-scrap recovery","Boliden","Skellefteå","Sweden","recovery","operating","Among the largest electronic scrap recycling operations in Europe.","https://www.boliden.com","medium","","","","","","","","","","","x","","","","","","","","","","","","","","","","","x","","","","","","",""
"se-vittangi-talga","Nunasvaara / Vittangi graphite","Talga Group","Vittangi","Sweden","mining","planned","High-grade graphite project intended to feed a Lulea anode refinery. Permitting has been protracted.","https://www.talgagroup.com","medium","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"se-woxna-lem","Woxna graphite mine","Leading Edge Materials","Edsbyn","Sweden","mining","care-and-maintenance","Built in the 1990s, on care and maintenance pending anode-grade qualification.","https://leadingedgematerials.com","medium","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","",""
"se-norrakarr-lem","Norra Kärr REE project","Leading Edge Materials","Gränna","Sweden","mining","planned","Unusually heavy-enriched rare earth deposit. Permitting contested for over a decade.","https://leadingedgematerials.com","medium","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"se-lulea-reemap","ReeMAP rare earth plant","LKAB","Luleå","Sweden","refining","planned","Planned processing of mine tailings into rare earth and phosphate products.","https://lkab.com","medium","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","",""
"fi-sotkamo-terrafame","Terrafame mine and bioleaching plant","Terrafame","Sotkamo","Finland","mining","operating","Bioheapleaching operation with an on-site battery chemicals plant.","https://www.terrafame.com","high","","","","","","","","","x","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"fi-kevitsa-boliden","Kevitsa mine","Boliden","Sodankylä","Finland","mining","operating","Open-pit nickel-copper-PGM mine.","https://www.boliden.com","high","","","","","","","","","","","x","","","","","","","","","","","","","x","","","","x","","","","","","",""
"fi-harjavalta-boliden","Harjavalta smelter","Boliden","Harjavalta","Finland","smelting","operating","Copper and nickel smelting on a shared industrial site.","https://www.boliden.com","high","","","","","","","","","","","x","","","","","","","","","","","","","x","","","","","","","","","","",""
"fi-harjavalta-nornickel","Harjavalta nickel refinery","Nornickel Harjavalta","Harjavalta","Finland","refining","operating","The EU’s largest nickel refinery. Ownership and feed sourcing have been under review since 2022.","https://www.nornickel.fi","medium","","","","","","","","","x","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"fi-kokkola-cobalt","Kokkola cobalt refinery","Jervois Finland","Kokkola","Finland","refining","operating","One of the largest cobalt refineries outside China. Ownership has changed repeatedly: Outokumpu, then OM Group, then Freeport Cobalt, then Jervois. Verify the current operator.","https://jervoisglobal.com","medium","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fi-keliber-mine","Keliber lithium mine","Sibanye-Stillwater","Kaustinen","Finland","mining","construction","Spodumene mining feeding the Kokkola refinery.","https://www.sibanyestillwater.com","medium","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"fi-keliber-refinery","Keliber lithium hydroxide refinery","Sibanye-Stillwater","Kokkola","Finland","refining","construction","Intended to be one of the first integrated EU lithium hydroxide plants.","https://www.sibanyestillwater.com","medium","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","",""
"fi-siilinjarvi-yara","Siilinjärvi mine","Yara International","Siilinjärvi","Finland","mining","operating","The only phosphate rock mine in the European Union.","https://www.yara.com","high","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","",""
"no-nikkelverk-glencore","Nikkelverk refinery","Glencore","Kristiansand","Norway","refining","operating","Major European nickel and cobalt refinery, also recovering PGMs.","https://www.glencore.com","high","","","","","","","","","x","","x","","","","","","","","","","","","","x","","","","x","","","","","","",""
