"element","stage","country","year","value","unit","source_url","note"
"aluminium","extraction","Guinea","2023","23","share_pct","https://rmis.jrc.ec.europa.eu/",""
"aluminium","extraction","Australia","2023","22","share_pct","https://rmis.jrc.ec.europa.eu/",""
"aluminium","extraction","China","2023","16","share_pct","https://rmis.jrc.ec.europa.eu/",""
"antimony","extraction","China","2023","63","share_pct","https://rmis.jrc.ec.europa.eu/",""
"antimony","extraction","Tajikistan","2023","19","share_pct","https://rmis.jrc.ec.europa.eu/",""
"antimony","extraction","Turkey","2023","5","share_pct","https://rmis.jrc.ec.europa.eu/",""
"arsenic","processing","China","2023","57","share_pct","https://rmis.jrc.ec.europa.eu/",""
"arsenic","processing","Morocco","2023","16","share_pct","https://rmis.jrc.ec.europa.eu/",""
"arsenic","processing","Russia","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"baryte","extraction","China","2023","35","share_pct","https://rmis.jrc.ec.europa.eu/",""
"baryte","extraction","India","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"baryte","extraction","Morocco","2023","11","share_pct","https://rmis.jrc.ec.europa.eu/",""
"beryllium","extraction","United States","2023","67","share_pct","https://rmis.jrc.ec.europa.eu/",""
"beryllium","extraction","China","2023","19","share_pct","https://rmis.jrc.ec.europa.eu/",""
"beryllium","extraction","Mozambique","2023","6","share_pct","https://rmis.jrc.ec.europa.eu/",""
"bismuth","refining","China","2023","74","share_pct","https://rmis.jrc.ec.europa.eu/",""
"bismuth","refining","Laos","2023","11","share_pct","https://rmis.jrc.ec.europa.eu/",""
"bismuth","refining","South Korea","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"boron","extraction","Turkey","2023","72","share_pct","https://rmis.jrc.ec.europa.eu/",""
"boron","extraction","United States","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"boron","extraction","Chile","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"cobalt","extraction","DR Congo","2023","74","share_pct","https://rmis.jrc.ec.europa.eu/",""
"cobalt","extraction","Indonesia","2023","6","share_pct","https://rmis.jrc.ec.europa.eu/",""
"cobalt","extraction","Russia","2023","4","share_pct","https://rmis.jrc.ec.europa.eu/",""
"coking-coal","extraction","China","2023","57","share_pct","https://rmis.jrc.ec.europa.eu/",""
"coking-coal","extraction","Australia","2023","16","share_pct","https://rmis.jrc.ec.europa.eu/",""
"coking-coal","extraction","Russia","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"copper","extraction","Chile","2023","24","share_pct","https://rmis.jrc.ec.europa.eu/",""
"copper","extraction","Peru","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"copper","extraction","DR Congo","2023","10","share_pct","https://rmis.jrc.ec.europa.eu/",""
"feldspar","extraction","Turkey","2023","29","share_pct","https://rmis.jrc.ec.europa.eu/",""
"feldspar","extraction","Italy","2023","8","share_pct","https://rmis.jrc.ec.europa.eu/",""
"feldspar","extraction","China","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"fluorspar","extraction","China","2023","65","share_pct","https://rmis.jrc.ec.europa.eu/",""
"fluorspar","extraction","Mexico","2023","14","share_pct","https://rmis.jrc.ec.europa.eu/",""
"fluorspar","extraction","Mongolia","2023","6","share_pct","https://rmis.jrc.ec.europa.eu/",""
"gallium","refining","China","2023","94","share_pct","https://rmis.jrc.ec.europa.eu/",""
"gallium","refining","Japan","2023","3","share_pct","https://rmis.jrc.ec.europa.eu/",""
"gallium","refining","South Korea","2023","2","share_pct","https://rmis.jrc.ec.europa.eu/",""
"germanium","refining","China","2023","59","share_pct","https://rmis.jrc.ec.europa.eu/",""
"germanium","refining","Russia","2023","5","share_pct","https://rmis.jrc.ec.europa.eu/",""
"germanium","refining","Japan","2023","4","share_pct","https://rmis.jrc.ec.europa.eu/",""
"hafnium","refining","France","2023","49","share_pct","https://rmis.jrc.ec.europa.eu/",""
"hafnium","refining","United States","2023","44","share_pct","https://rmis.jrc.ec.europa.eu/",""
"hafnium","refining","Ukraine","2023","3","share_pct","https://rmis.jrc.ec.europa.eu/",""
"helium","extraction","United States","2023","55","share_pct","https://rmis.jrc.ec.europa.eu/",""
"helium","extraction","Qatar","2023","30","share_pct","https://rmis.jrc.ec.europa.eu/",""
"helium","extraction","Algeria","2023","7","share_pct","https://rmis.jrc.ec.europa.eu/",""
"heavy-rare-earths","separation","China","2023","100","share_pct","https://rmis.jrc.ec.europa.eu/",""
"light-rare-earths","separation","China","2023","85","share_pct","https://rmis.jrc.ec.europa.eu/",""
"light-rare-earths","separation","Malaysia","2023","9","share_pct","https://rmis.jrc.ec.europa.eu/",""
"light-rare-earths","separation","Estonia","2023","2","share_pct","https://rmis.jrc.ec.europa.eu/",""
"lithium","extraction","Australia","2023","52","share_pct","https://rmis.jrc.ec.europa.eu/",""
"lithium","extraction","Chile","2023","25","share_pct","https://rmis.jrc.ec.europa.eu/",""
"lithium","extraction","China","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"magnesium","refining","China","2023","89","share_pct","https://rmis.jrc.ec.europa.eu/",""
"magnesium","refining","United States","2023","4","share_pct","https://rmis.jrc.ec.europa.eu/",""
"magnesium","refining","Russia","2023","3","share_pct","https://rmis.jrc.ec.europa.eu/",""
"manganese","extraction","South Africa","2023","36","share_pct","https://rmis.jrc.ec.europa.eu/",""
"manganese","extraction","Gabon","2023","22","share_pct","https://rmis.jrc.ec.europa.eu/",""
"manganese","extraction","Australia","2023","13","share_pct","https://rmis.jrc.ec.europa.eu/",""
"natural-graphite","extraction","China","2023","65","share_pct","https://rmis.jrc.ec.europa.eu/",""
